cluster,term_or_pair,why_it_belongs_here,priority,notes
substitute_field,artificial flowers,Shows artificial as substitute or imitation of a natural object,1,"Default visible label; may optionally bridge toward not-real pressure."
substitute_field,artificial teeth,Shows artificial as body replacement or substitute,1,"Default visible label; one concise body-replacement example is enough."
substitute_field,artificial light,Shows artificial as environmental or perceptual replacement,1,"Default visible label; also bridges toward natural light / artificial light."
substitute_field,artificial limb,Shows artificial as bodily replacement,2,"Optional / secondary label only."
not_natural,natural light ↔ artificial light,Directly frames artificial through contrast with naturalness in environment/perception,1,"Default visible pair."
not_natural,natural flavor ↔ artificial flavor,Directly frames artificial through contrast with naturalness in taste/food language,1,"Default visible pair; do not let it take over Chart 2."
not_natural,natural ingredients ↔ artificial ingredients,Directly frames artificial through consumer naturalness contrast,1,"Default visible pair; points toward Chart 4 without becoming Chart 4."
not_real,fake,Supports the not-real pressure field,1,"Default visible label; pressure evidence only."
not_real,not genuine,Supports authenticity and genuineness pressure,1,"Default visible label; chosen over genuine because it matches the pressure direction."
not_real,imitation,Links substitute use to authenticity and realness pressure,1,"Default visible label and bridge term."
suspicion_support,not natural ≠ not real,Clarifies that suspicion arises between distinct pressure fields rather than from equivalence,1,"Should appear near the suspicion line, possibly strongest on suspicion hover."
background_only,natural color ↔ artificial color,Useful optional naturalness pair but lower priority than light/flavor/ingredients,3,"Keep for data-checking or later notes."
background_only,natural colour ↔ artificial colour,British spelling variant for color pair,3,"Notes/data only unless specifically needed."
background_only,all natural,Packaging phrase that could support later consumer discourse,3,"Likely belongs more naturally to Chart 4."
background_only,no artificial ingredients,Packaging phrase that could support later consumer discourse,3,"Likely belongs more naturally to Chart 4."
