source_name,source_type,access_status,source_url,terms_checked,result,notes
Existing Chart 4 Ngram package,corpus_result,accessed,docs/research/artificial/chart_04_suspicion_distance/,artificial; artificiality; artifice; fake; synthetic; imitation; processed; artificial manner; artificial manners; artificial tears; artificial smile; artificial style; artificial taste; artificial flavor; artificial color; artificial ingredients; no artificial ingredients; no artificial flavors; no artificial colors; nothing artificial; all natural; clean label,Used for decade-level summaries; not rerun.,Frequency signal only.
Expanded corpus round 02,secondary_literature,accessed,docs/research/artificial/chart_04_suspicion_distance/expanded_corpus_round_02/,"round 02 evidence table, term status, timeline coverage, notes",Reused as source-width baseline.,No files replaced.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificial,artificial,Secondary chronology reports affected/insincere and fictitious/not-genuine branches before 1800.,OED or primary quotation review required before exact chronology claims.
Etymonline,etymology_source,accessed,https://www.etymonline.com/word/artificiality,artificiality,Artificiality is recorded as appearance of art and insincerity.,Useful pre-1800 abstract-noun lead.
"Henry VI, Part 3",book_snippet,accessed,https://www.gutenberg.org/files/1502/1502-h/1502-h.htm,artificial tears,Feigned tears appear as part of a self-consciously deceptive emotional performance.,Strong early false-emotion lead; verify edition before quotation.
Thoughts on the Education of Daughters,book_snippet,accessed,https://www.gutenberg.org/ebooks/67466.html.images,artificial manners,Wollstonecraft frames artificial manners as affectation and copied feeling rather than genuine feeling.,Strong pre-1800 social/manners evidence.
An Explanatory Discourse by Tan Chet-qua,book_snippet,accessed,https://www.gutenberg.org/cache/epub/39803/pg39803-images.html,artificial manner,Aesthetic/gardening passage uses artificial manner/stile in an art-versus-nature and affectation context.,"Mixed evidence; useful for aesthetic domain, not direct insincerity."
Search status,book_snippet,search_only,,artificial smile,No pre-1800 artificial smile sample was stabilized in this pass.,Keep in manual review queue.
The Port Gibson Reveille via Chronicling America,newspaper_snippet,accessed,https://chroniclingamerica.loc.gov/lccn/sn86090233/1904-05-12/ed-1/seq-6/,artificially colored,Food item contrasts a product not artificially colored with imitations colored using coal-tar dyes.,Page image/OCR review required.
Evening Star via Chronicling America,advertising_snippet,accessed,https://chroniclingamerica.loc.gov/lccn/sn83045462/1950-05-03/ed-1/seq-42/,no artificial flavoring,Kitchen Bouquet ad uses no artificial flavoring as a positive trust/taste claim.,Good advertising lead; verify page image before final quotation.
JAMA cyclamate sweeteners article,secondary_literature,accessed,https://jamanetwork.com/journals/jama/fullarticle/349150,artificial sweetener,Article summarizes cyclamate's regulatory controversy and notes artificial sweetener as a food-additive category under scrutiny.,Use as discourse/regulatory-history evidence only; do not make health claims.
FDA milestones / cyclamate history,regulatory_source,accessed,https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law,artificial sweetener,FDA historical timeline records late-1960s action around artificial sweetener saccharin and broader food/color additive regulation.,Regulatory background only.
The New Yorker comment on cyclamate ban,magazine_snippet,accessed,https://www.newyorker.com/magazine/1969/11/01/comment-5253,free of cyclamates,Magazine comment describes post-ban soft-drink advertising that quickly positioned a reformulated product as free of cyclamates.,"Useful consumer-transition lead; humorous commentary, not a corpus measure."
21 CFR 101.22,regulatory_source,accessed,https://ecfr.io/Title-21/Section-101.22,artificial flavor; artificial color,Regulatory categories stabilize artificial flavor/color as labelable food attributes.,Definition/background only; not pejoration proof.
FDA no artificial colors labeling letter,regulatory_source,accessed,https://www.fda.gov/food/food-chemical-safety/letter-food-industry-no-artificial-colors-labeling-claims,no artificial colors,FDA addresses voluntary no artificial colors claims for foods without certified colors.,Official labeling-policy evidence; not sentiment proof.
PepsiCo / Gatorade,packaging_claim,accessed,https://www.pepsico.com/en/newsroom/press-releases/2026/gatorade-lower-sugar-brings-a-new-era-of-hydration-with-no-artificial-flavors-sweeteners-or-colors,"no artificial flavors, sweeteners or colors","Gatorade launch copy foregrounds absence of artificial flavors, sweeteners, and colors.",Brand source; product positioning evidence.
Swanson 50% Less Sodium Beef Broth,packaging_claim,accessed,https://www.campbells.com/swanson/products/broth/50-less-sodium-beef-broth/,no artificial ingredients,"Product page clusters no artificial ingredients with no MSG added, no preservatives, and gluten-free language.",Current product page; content may change.
Consumer Reports natural label guide,consumer_report,accessed,https://www.consumerreports.org/food-labels/seals-and-claims/natural,natural; artificial ingredients,Consumer label guide links consumer expectations of natural with no artificial ingredients.,"Consumer expectation source, not frequency."
Consumer Reports artificial sweeteners article,consumer_report,accessed,https://www.consumerreports.org/health/sugar-sweeteners/the-truth-about-artificial-sweeteners-a2293745150/,artificial sweeteners,Consumer article treats artificial sweeteners as a consumer decision category and discusses why some consumers scrutinize them.,Do not convert into health claim; use only as consumer-suspicion context.
IFT Food Technology,industry_report,accessed,https://www.ift.org/food-technology-magazine/ingredients-clean-label,clean label; artificial or synthetic,Clean-label discussion includes consumer definitions that avoid artificial or synthetic ingredients.,Industry/secondary source.
Freedonia / Packaged Facts,industry_report,accessed,https://www.freedoniagroup.com/press-releases/new-report-consumers-crave-transparency-clean-label-foods-on-the-rise,clean label; absence of artificial flavors and preservatives,Market report frames clean-label foods around recognizable ingredients and absence of artificial flavors/preservatives.,"Report/press-release source, not balanced corpus."
FoodNavigator-USA,news_snippet,accessed,https://www.foodnavigator-usa.com/Article/2024/09/12/clean-label-trends-boost-natural-flavors-but-price-remains-key-purchase-driver,natural flavors over artificial counterparts,Trade-news source frames clean-label demand as favoring natural flavors over artificial counterparts.,Useful bridge toward Chart 4B; not a final distance measure.
OED,historical_dictionary,not_accessible,https://www.oed.com/,artificial; artificiality; artifice,Not accessed in this pass.,Blocks final chronology claims.
