related_term,relation_type,closeness_score,why,main_evidence,main_risk,notes
fake,drift_target,3,Artificial becomes fake adjacent in feigned and not genuine uses but remains broader and often neutral,WordReference artificial plus Merriam-Webster fake plus artificial tears and manners,Thesaurus can overstate synonymy,Key non equivalence pair.
false,ambiguous,3,False overlaps on deceptive and substitute uses but is broader because it also targets statements beliefs and loyalties,WordReference false and artificial entries,Breadth may distort distance,Context sensitive.
counterfeit,drift_target,2,Counterfeit requires imitation with intent to deceive and is therefore sharper and narrower than artificial,Merriam-Webster counterfeit,Legal and monetary bias,Near fake more than artificial.
sham,drift_target,2,Sham aligns with pretence and feigned display which matches only one branch of artificial,WordReference sham and artificial manners,Tends to be social or performative,Useful fake basin edge.
synthetic,overlap,4,Synthetic shares the non natural and industrial material branch strongly but is more chemically specific,WordReference synthetic plus regulatory and additive evidence,Some figurative uses overlap fake,Strong near neighbor.
imitation,near_synonym_contextual,4,Imitation shares substitute and copy logic with some artificial objects but presupposes a model being copied,WordReference imitation and artificial flowers evidence,Not all artificial things imitate originals,Object copy branch.
simulated,near_synonym_contextual,4,Simulated shares appearance and modeling logic and often sits between artificial and realistic,Merriam-Webster simulated and realistic entries,Need more technical corpus,Bridge term.
realistic,not_equivalent,3,Realistic can describe the quality of an artificial object without making it real,Realistic artificial skin and realistic artificial flowers,Could be misread as closeness to real rather than to artificial,Important bridge not synonym.
real,contrast,1,Real directly opposes counterfeit imitation and artificial in authenticity uses,WordReference real,Real has very broad philosophical senses,Strong contrast anchor.
genuine,contrast,1,Genuine opposes artificial especially in sincerity and provenance contexts,WordReference genuine plus artificial manners,Can be overmerged with authentic,Best sincerity opposite.
authentic,contrast,1,Authentic opposes false or imitation and adds authority or verified origin,Merriam-Webster authentic,Some uses permit faithful reproductions,Provenance contrast.
natural,contrast,1,Natural is the strongest origin contrast to artificial and a major consumer label opposite,WordReference natural plus Webster 1828 natural,Not every natural use equals genuine,Do not collapse categories.
constructed,overlap,4,Constructed captures the neutral built branch at the center of artificial,WordReference constructed,Abstract theoretical senses exist,Good core neighbor.
manufactured,overlap,4,Manufactured captures the industrial production branch and often substitutes for artificial in non natural product contexts,WordReference manufactured,Figurative made up use can drift toward fake,Industrial neighbor.
processed,overlap,3,Processed is less close than synthetic or manufactured but sits in the consumer and industrial orbit around artificial,Processed entry plus food labeling evidence,Consumer discourse can smuggle in value judgments,Secondary bridge.
